productName,sku,lot,coaUrl,productId,pageUrl
K48 Tetra-Ubiquitin,SBB-UP0070,181940070,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_70c1eff8d64e45d9bbaf3daf617b2b7b.pdf,49442e85-4209-5eea-4a0e-a3b1d5dc0f31,https://www.south-bay-bio.com/product-page/k48-tetra-ubiquitin
K48 Tri-Ubiquitin,SBB-UP0171,243020171,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_bf5e804c27fe452fb8342797a9f12954.pdf,33e1fabc-de66-9534-593e-8ce235c73713,https://www.south-bay-bio.com/product-page/k48-tri-ubiquitin
K6 Di-Ubiquitin,SBB-UP0060,181940060,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_468c956494fd401380b911c316dab114.pdf,e020555b-9d8b-f96a-0696-7e38a99fdc8f,https://www.south-bay-bio.com/product-page/k6-di-ubiquitin
K6 Tetra-Ubiquitin,SBB-UP0061,181940064,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_b5e4eb5af9eb4d2399687cba7b17636e.pdf,7c0347c1-b980-e73e-f31b-01df18a28e3e,https://www.south-bay-bio.com/product-page/k6-tetra-ubiquitin
K63 Di-Ubiquitin,SBB-UP0072,181940072,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_6e261ed812624359b9753b1d5a9e0313.pdf,a9553c55-72df-f375-5285-91c64d3d45f7,https://www.south-bay-bio.com/product-page/k63-di-ubiquitin
K63 Tetra-Ubiquitin,SBB-UP0073,181940073,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fed674fd033941b49433f85e2e4d82b4.pdf,2eb92e86-7132-4550-f51d-5dfc21166cea,https://www.south-bay-bio.com/product-page/k63-tetra-ubiquitin
M1 Di-Ubiquitin,SBB-UP0075,181940075,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_00235ae2c0dd4a658d8604238130ec8d.pdf,fee0d134-99f9-677d-3230-b1c856af602b,https://www.south-bay-bio.com/product-page/m1-di-ubiquitin
M1 Tetra-Ubiquitin,SBB-UP0119,181940119,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9c2b6d52f4a24a63b1954bfc19e053d9.pdf,e78cd80f-3938-be0f-83c6-66781def4d26,https://www.south-bay-bio.com/product-page/m1-tetra-ubiquitin
MDM2 E3 Ligase TR-FRET Kit,SBB-KF0030,172440030,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_fd7f4d3b3f81469dad0a9254c2251d35.pdf,b680829d-72a5-39fe-1ed3-2291bcd93748,https://www.south-bay-bio.com/product-page/mdm2-e3-ligase-tr-fret-kit
NEDD4 E3 Ligase TR-FRET Kit,SBB-KF0056,173050056,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_16944b738f7e4aa9865fff67c615976f.pdf,474bcdc3-befa-978a-0b4f-117e966c3212,https://www.south-bay-bio.com/product-page/nedd4-e3-ligase-tr-fret-kit
NEDD8 Rhodamine 110,SBB-PS0003,163060003,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_2fad52142f96444b9670b59ff382e342.pdf,225c9d9d-fcda-5e3d-e572-55276842f6a9,https://www.south-bay-bio.com/product-page/nedd8-rhodamine-110
NEDD8-AMC,SBB-PS0044,172440044,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_17e1af0b7e164f8386160972fb6b74fd.pdf,305874f2-5937-16bd-2742-8cb03e5117bc,https://www.south-bay-bio.com/product-page/nedd8-amc
Parkin (PARK2),SBB-CE0055,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_cea19c68946d4369bf5071efd028646a.pdf,fd87f1ac-3107-f9f3-309c-60102fecd798,https://www.south-bay-bio.com/product-page/parkin-park2
Parkin E3 Ligase TR-FRET Kit,SBB-KF0036,172440036,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_9b9ce45b8d544bfd8f9fb79434509069.pdf,8ca91d78-b12f-d976-bae2-4f15acf4088e,https://www.south-bay-bio.com/product-page/parkin-e3-ligase-tr-fret-kit
Skp1/His6-Skp2,SBB-SC0118-50,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_573549c325a042bc9ee66ae69fcbaf6b.pdf,e46ee087-cb9b-b955-d8a6-9c5aeff4eff6,https://www.south-bay-bio.com/product-page/skp1-skp2-recombinant-protein
Skp1/His6-Skp2,SBB-SC0118-50,,https://8c0a19bf-a2d2-40b6-a0ea-bfe93aeb6d48.usrfiles.com/ugd/8c0a19_7034d66684d8496eb5c2edece7b7cd45.pdf,e46ee087-cb9b-b955-d8a6-9c5aeff4eff6,https://www.south-bay-bio.com/product-page/skp1-skp2-recombinant-protein
